head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l18_h3,0.00715,0.2867132867132867,0.9978345167950848,0.27972027972027974,0.9983884776149469,0.006993006993006993,1.0
l18_h4,0.00965,0.5284974093264249,0.9895491492906549,0.39896373056994816,0.9939920230221638,0.21761658031088082,0.9983844095521786
l18_h5,0.12115,0.8043747420553033,0.622973203618365,0.5051588939331407,0.8498606133014736,0.08997111019397441,0.9903851624281732
l18_h6,0.0936,0.7521367521367521,0.7808914386584289,0.5138888888888888,0.8963481906443072,0.13194444444444445,0.9843336275375111
l18_h7,0.0164,0.6707317073170732,0.9737189914599431,0.4878048780487805,0.9865799105327369,0.19817073170731708,0.9966449776331843
l19_h0,0.09865,0.759249873289407,0.7130970211349642,0.49873289406994425,0.8629278304765075,0.146477445514445,0.9780329505741387
l19_h1,0.03665,0.37789904502046384,0.9337208698811439,0.252387448840382,0.9697410079410391,0.10914051841746249,0.9946021695126381
l19_h2,0.15015,0.8298368298368298,0.5235041477907866,0.5551115551115551,0.7926104606695299,0.07425907425907426,0.9903512384538448
l19_h3,0.0822,0.601581508515815,0.7538134669862715,0.3722627737226277,0.9087491828285029,0.06873479318734793,0.9928633689256918
l19_h4,0.10515,0.6528768426058013,0.679443482147846,0.43937232524964337,0.8409230597306812,0.09700427960057062,0.9780410124601888
l19_h5,0.00245,0.7551020408163265,0.9979449651646534,0.7551020408163265,0.998646684376723,0.7551020408163265,0.998646684376723
l19_h6,0.11515,0.8028658271819366,0.672882409447929,0.5414676508901433,0.8578290105667628,0.12548849326964828,0.9873989941798045
l19_h7,0.0206,0.16262135922330098,0.9919338370430876,0.09951456310679611,0.9978558301000613,0.08980582524271845,0.9985195017357565
l1_h0,0.1042,0.4309021113243762,0.6154275507925876,0.0019193857965451055,0.9967626702388926,0.0,1.0
l1_h1,0.0083,0.006024096385542169,0.9995462337400424,0.0,1.0,0.0,1.0
l1_h2,0.03855,0.04928664072632944,0.9794581101461335,0.0,0.9998959904311197,0.0,1.0
l1_h3,0.07485,0.48897795591182364,0.8848294871101984,0.041416165664662656,0.9926498405663946,0.0,1.0
l1_h4,0.14215,0.9859303552585297,0.004662819840298421,0.06507210692930003,0.8896077402809349,0.0,1.0
l1_h5,0.1082,0.744916820702403,0.3555169320475443,0.0411275415896488,0.9830679524557075,0.0,1.0
l1_h6,0.1189,0.7682926829268293,0.3554080127113835,0.187973086627418,0.9063102939507434,0.0,1.0
l1_h7,0.2364,1.0,0.0,0.9149746192893401,0.14700104766893662,0.0,1.0
l20_h0,0.0077,0.24025974025974026,0.998639524337398,0.24025974025974026,0.998639524337398,0.0,1.0
l20_h1,0.0316,0.36075949367088606,0.9280772408095829,0.21835443037974683,0.9702602230483272,0.0949367088607595,0.9934944237918215
l20_h2,0.11995,0.8240933722384327,0.7364354298051247,0.6169237182159233,0.8593829896028635,0.22092538557732389,0.9735810465314471
l20_h3,0.10315,0.7387300048473098,0.7343479957629481,0.5060591371788657,0.8792997714222,0.12069801260300533,0.986229581312371
l20_h4,0.066,0.521969696969697,0.8624732334047109,0.3287878787878788,0.9337259100642399,0.12803030303030302,0.9858672376873662
l20_h5,0.17495,0.8608173763932552,0.5111205381492031,0.6247499285510145,0.7507423792497424,0.15004286939125464,0.9684867583782801
l20_h6,0.053,0.6113207547169811,0.8872756071805702,0.45943396226415095,0.9383315733896516,0.19905660377358492,0.9818901795142555
l20_h7,0.15655,0.8403066113062919,0.5256980259647874,0.5748961992973491,0.780722034501156,0.11338230597253274,0.9815045349457585
l21_h0,0.1114,0.6104129263913824,0.7309250506414585,0.4245960502692998,0.8518455998199415,0.14228007181328545,0.9677020031510241
l21_h1,0.02235,0.6912751677852349,0.962103002096865,0.5458612975391499,0.9822022196082443,0.26174496644295303,0.9954482688078555
l21_h2,0.04815,0.6687435098650052,0.9141671481851132,0.4963655244029076,0.9521458212953722,0.19937694704049844,0.9873929715816567
l21_h3,0.00625,0.368,0.9968301886792453,0.36,0.9977358490566037,0.04,0.9997987421383647
l21_h4,0.1636,0.7982885085574573,0.4601865136298422,0.5143643031784841,0.736728837876614,0.09718826405867971,0.9757890961262554
l21_h5,0.08975,0.8050139275766016,0.8033507278220269,0.6128133704735376,0.9015655039824224,0.22952646239554317,0.9822026915682505
l21_h6,0.17795,0.8850800786737848,0.5525211361839304,0.69176735037932,0.759564503375707,0.19303175049171115,0.963992457879691
l21_h7,0.0838,0.6068019093078759,0.8075201920977952,0.4278042959427208,0.9031870770574111,0.13544152744630072,0.9796987557301899
l22_h0,0.09475,0.7071240105540897,0.7713338856669428,0.5007915567282322,0.8947804473902237,0.15356200527704486,0.9812206572769953
l22_h1,0.0399,0.7694235588972431,0.9295385897302364,0.650375939849624,0.9612540360379127,0.34210526315789475,0.9904697427351318
l22_h2,0.02495,0.42084168336673344,0.9454386954515153,0.3406813627254509,0.9647197579611302,0.20240480961923848,0.9837444233629045
l22_h3,0.1708,0.7300936768149883,0.5340086830680174,0.48009367681498827,0.7574770863482875,0.13934426229508196,0.9557404727448143
l22_h4,0.0789,0.5418250950570342,0.8287916621430897,0.37959442332065907,0.9049506025404408,0.1444866920152091,0.9727499728585387
l22_h5,0.01675,0.3373134328358209,0.972234935163997,0.2537313432835821,0.9850495804729215,0.16417910447761194,0.9953724891939995
l22_h6,0.04015,0.41967621419676215,0.9204563213002032,0.29389788293897884,0.953065583164036,0.10585305105853052,0.9857790279731208
l22_h7,0.01385,0.4620938628158845,0.961719819500076,0.36823104693140796,0.9802768341530194,0.19494584837545126,0.9950818840947118
l23_h0,0.0978,0.621676891615542,0.793449346043006,0.4274028629856851,0.8919862558191088,0.14826175869120656,0.9748947018399468
l23_h1,0.01235,0.3319838056680162,0.9926087176631397,0.23481781376518218,0.9946843517440389,0.15789473684210525,0.9975193641472181
l23_h2,0.0933,0.6270096463022508,0.7807985000551451,0.46730975348338694,0.8773574500937465,0.2282958199356913,0.9627219587515164
l23_h3,0.11885,0.5494320572149769,0.6978380525449697,0.33908287757677746,0.8509334392555183,0.06520824568784182,0.978096805311241
l23_h4,0.0028,0.6607142857142857,0.9985960689931809,0.6607142857142857,0.9985960689931809,0.6607142857142857,0.9986462093862816
l23_h5,0.00455,0.4065934065934066,0.9982420011050279,0.4065934065934066,0.9984429152644533,0.4065934065934066,0.9986438294238786
